Base,Dirección,Colonia,m2,Clasif.,Antigüedad,Clasif.,Elev,Est,Rec,Bañ,"Interior 
Exteriror",Balcón,Roof privado/ Patio interior,m2 Roof privado/ Patio interior,Amenidades,Bodega,Cuarto de servicio,Jaula de tendido,Seguridad,Costo Mantenimiento,Precio de venta,Sin Estacionamiento,$/m2,$/m2 (-5%),$/m2 sin est,Link
CK Leads,Azores 818,Santa Cruz Atoyac,60,1,6,3,Sí,2,2,2,Exterior,,,,No,,,,Sí,,"$2,900,000","$2,777,179","$48,333","$45,917","$46,286",
CK Leads,Cuauhtémoc 514-86,Narvarte Poniente,60,1,6,3,Sí,1,2,2,Interior,,,,Sí,,,,Sí,1420,"$3,200,000","$3,077,179","$53,333","$50,667","$51,286",
CK Leads,28 de agosto 2do piso,Escandon I Seccion,60,1,10,3,No,0,2,1,Exterior,,,,No,,,,Sí,,"$1,690,000","$1,567,179","$28,167","$26,758","$26,120",
CK Leads,28 de agosto 3er piso,Escandon I Seccion,60,1,10,3,No,0,2,1,Exterior,,,,No,,,,Sí,,"$1,690,000","$1,567,179","$28,167","$26,758","$26,120",
CK Leads,calle 1 38,San Pedro de los Pinos,60,1,12,4,Sí,1,2,1,Interior,,,,No,,,,Sí,800,"$2,350,000","$2,227,179","$39,167","$37,208","$37,120",
CK Leads,Serafín Olarte 112,Independencia,60,1,8,3,Sí,1,2,1,Interior,,,,No,,,,Sí,750,"$2,300,000","$2,177,179","$38,333","$36,417","$36,286",
CK Leads,matias romero 186,Independencia,60,1,13,4,Sí,1,2,1,Exterior,,,,No,,,,Sí,990,"$2,350,000","$2,227,179","$39,167","$37,208","$37,120",
CK Leads,Obrero Mundial 306,Piedad Narvarte,60,1,10,3,Sí,1,2,2,Interior,,,,Sí,,,,Sí,1150,"$3,100,000","$2,977,179","$51,667","$49,083","$49,620",
CK Leads,dakota 335,Napoles,60,1,61,8,No,0,1,1,Exterior ,No,,,No,No,,,Sí,600,"$1,900,000","$1,777,179","$31,667","$30,083","$29,620",
CK Leads,Canarias 91- depto 6,San Simon Ticumac,60,1,12,4,Sí,1,2,1,Interior,No,No,,No,No,No,No,No,1100,"$1,990,000","$1,867,179","$33,167","$31,508","$31,120",
CK Leads,José María Vigil 59,Escandon I Seccion,60,1,32,7,No,1,2,1,Interior,,,,No,,,,Sí,400,"$2,390,000","$2,267,179","$39,570","$37,591","$37,536",
CK Leads,"Frontera 129, Departamento 303",Roma Norte,60,1,40,7,Sí,0,1,1,Exterior,,,,No,,,,Sí,1800,"$3,350,000","$3,227,179","$55,399","$52,629","$53,368",
CK Leads,Pestalozzi 312,Narvarte Poniente,61,1,30,6,No,1,2,1,Interior,,,,No,,,,Sí,800,"$2,470,000","$2,347,179","$40,492","$38,467","$38,478",
CK Leads,Cuicuilco 79,Letran Valle,62,1,4,2,Sí,1,2,2,Exterior ,Sí,Sí,,,No,,,Sí,1200,"$3,300,000","$3,177,179","$53,226","$50,565","$51,245",
CK Leads,Prolongacion Xochicalco 880,Santa Cruz Atoyac,62,1,12,4,Sí,1,2,2,Exterior ,,,,Sí,,,,Sí,800,"$3,000,000","$2,877,179","$48,387","$45,968","$46,406",
CK Leads,Xochicalco 880,Santa Cruz Atoyac,62,1,10,3,Sí,1,2,2,Interior,No,,,Sí,No,No,,Sí,800,"$2,650,000","$2,527,179","$42,742","$40,605","$40,761",
CK Leads,Cuauhtémoc 1463,Santa Cruz Atoyac,62,1,0,1,No,1,1,1,Interior ,No,,,No,No,No,,No,500,"$2,365,000","$2,242,179","$38,145","$36,238","$36,164",
